FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2021,2023
A,Annual,BRB,Barbados,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,6.944444444,6.944444444
A,Annual,BRN,Brunei Darussalam,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,8.796296296,19.44444444
A,Annual,BTN,Bhutan,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.407407407,8.487654321
A,Annual,BWA,Botswana,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,10.95679012,11.88271605
A,Annual,CAF,Central African Republic,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,4.62962963,4.62962963
A,Annual,CAN,Canada,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,26.08024691,26.08024691
A,Annual,CHE,Switzerland,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,22.22222222,25.92592593
A,Annual,CHL,Chile,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,23.61111111,23.61111111
A,Annual,CHN,China,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,19.90740741,22.68518519
A,Annual,CIV,Cote d'Ivoire,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,8.796296296,11.11111111
A,Annual,CMR,Cameroon,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,8.024691358,12.03703704
A,Annual,COD,"Congo, Dem. Rep.",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,5.092592593,7.87037037
A,Annual,COG,"Congo, Rep.",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,10.18518519,13.88888889
A,Annual,COL,Colombia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,23.14814815,24.07407407
A,Annual,COM,Comoros,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,5.555555556,8.333333333
A,Annual,CPV,Cabo Verde,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,11.57407407,16.66666667
A,Annual,CRI,Costa Rica,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,23.45679012,25.61728395
A,Annual,CUB,Cuba,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,6.481481481,11.11111111
A,Annual,CYP,Cyprus,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,15.74074074,20.98765432
A,Annual,CZE,Czechia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,20.37037037,23.14814815
A,Annual,DEU,Germany,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,24.38271605,29.01234568
A,Annual,DJI,Djibouti,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,3.240740741,3.240740741
A,Annual,DMA,Dominica,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,5.555555556,5.555555556
A,Annual,DNK,Denmark,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,21.91358025,21.91358025
A,Annual,DOM,Dominican Republic,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,19.59876543,22.5308642
A,Annual,DZA,Algeria,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,9.259259259,12.96296296
A,Annual,ECU,Ecuador,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,11.11111111,11.57407407
A,Annual,EGY,"Egypt, Arab Rep.",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,20.21604938,21.14197531
A,Annual,ERI,Eritrea,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,ESP,Spain,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,23.14814815,23.7654321
A,Annual,EST,Estonia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,21.3,23.14814815
A,Annual,ETH,Ethiopia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,12.34567901,12.34567901
